tahun,kota,jenis_transmigrasi,target,realisasi_kk,realisasi_orang
2011,Jakarta Selatan,Transmigrasi Umum,23,21,77
2011,Jakarta Selatan,Transmigrasi Swakarsa Mandiri,4,4,13
2011,Jakarta Timur,Transmigrasi Umum,23,29,114
2011,Jakarta Timur,Transmigrasi Swakarsa Mandiri,4,1,3
2011,Jakarta Pusat,Transmigrasi Umum,23,9,36
2011,Jakarta Pusat,Transmigrasi Swakarsa Mandiri,4,0,0
2011,Jakarta Barat,Transmigrasi Umum,23,32,106
2011,Jakarta Barat,Transmigrasi Swakarsa Mandiri,4,6,15
2011,Jakarta Utara,Transmigrasi Umum,23,23,106
2011,Jakarta Utara,Transmigrasi Swakarsa Mandiri,4,2,8
